,PLANT,LAT,LONG,CAST,AHOS,ALBE,ALEX,ALTA,BLUE,CHAR,CHES,CHUC,ELIZ,EMER,ERIC,FAIR,FARM,FISH,FRED,GLOU,HERN,KHWK,LEES,MIDL,MILL,NNCK,NORF,ORAN,PENI,PETE,RICH,ROAN,ROCK,SBOS,SHEN,SMTR,SPRI,SSID,VBCH,WARR,WILL,WOOD
28,ROAN,36.456039000000004,-77.657227,70.80086585113418,39.200039714255354,53.41996440279188,165.68559092519834,100.85682236743594,140.50460482095764,117.67498067533623,78.96826873620928,62.47858918836593,80.47447688714806,70.80086585113418,75.93194869051909,166.25731355122932,71.1757415763037,134.4916112101442,128.08279239423487,91.3518974033921,174.32071221993994,112.66516650497167,183.32557461263644,72.3837268968314,453.66651336871803,110.94167676056259,80.75906866628736,125.4238880603383,82.84358490773164,53.88636934276737,75.93194869051909,,134.5249255373833,71.04074561632434,173.9073975207716,70.80086585113418,163.01286544720386,32.16625776713168,97.03460432373787,156.18289775736753,76.97213768675138,154.17463585576684
29,ROCK,37.780941,-79.446564,111.55322208453346,170.56242473730262,187.6196790443569,148.10774947410147,47.068809247748334,32.616693664396976,55.58966629238175,187.23961506029488,173.44843641582557,205.01855130047394,111.55322208453346,111.21263076137308,137.396456114115,66.57922924929392,34.05220129132454,113.93402543324844,159.705275979345,138.6653763546763,238.73462455985788,137.59293820635946,100.04573286572327,452.71802906783006,160.16424043295459,185.1783204944934,84.42233979213243,178.12622049697654,119.66560540059817,111.21263076137308,134.5249255373833,,80.56094703924897,91.56740401135802,111.55322208453346,140.8310794060948,102.74419889466334,201.07809419741122,110.36223444441832,154.171703778937,134.1236722979056
30,SBOS,36.698749,-78.901399,96.14125458091866,110.20310655967427,118.20585818453304,177.30015230602086,35.56754830018088,100.68268338088669,94.8448230471464,144.81569965993629,128.41321638551378,151.2448385113386,96.14125458091866,99.50579854372567,172.05065649643373,50.280323899629124,96.81967170793166,136.1112454151916,139.0231226290522,177.41350050319616,183.70184765557647,182.01852714324474,88.51483128649654,483.1235459864147,151.01927024828413,145.12832953620781,117.64786472909105,143.27896469566974,90.6182867599286,99.50579854372567,71.04074561632434,80.56094703924897,,152.37090095944188,96.14125458091866,171.93835105431512,42.817591590061596,162.13374423885162,151.78227427050942,127.3686304519124,163.16473661702034
31,SHEN,38.881778000000004,-78.505843,113.42010428863298,197.68685273105228,223.7982851819474,78.6899220426392,129.45247737617967,59.14274335399006,58.92140968641539,189.6791372355049,182.08088443704,217.65934766336767,113.42010428863298,109.35298047068206,64.5761781303765,109.32114271645541,59.60758624395969,69.17238747989649,145.01754775876933,60.61309879908299,248.20584962013604,53.62251918515173,105.91285501883809,366.0644223640813,132.2073827449009,185.33739216422808,51.160107106084986,174.03818272062028,130.82659355482815,109.35298047068206,173.9073975207716,91.56740401135802,152.37090095944188,,113.42010428863298,71.27732478862715,150.32530450153104,196.6089808390742,39.96894002142469,148.1768884760415,69.53887974852151
32,SMTR,37.46689,-77.447,0.0,85.44471099761135,113.49195940732383,94.96540598466478,104.00070760995979,100.49252811504269,68.37006951892694,80.07049492071634,69.79297375779073,105.11534227452967,0.0,5.136766967573699,95.60875592818975,53.11177683971813,93.89648651654548,57.788206815320294,48.70303817967114,103.89287477896912,137.04552630756172,113.52922100541988,11.509389671367618,390.73078003043605,55.41133643934037,76.81167899733931,62.265951333816226,67.89487372511127,18.3522114263898,5.136766967573699,70.80086585113418,111.55322208453346,96.14125458091866,113.42010428863298,,92.2156333373945,63.48033377350327,91.33717822068893,88.21620257700278,42.81195668583736,83.39741860651391
33,SPRI,38.785809,-77.187248,92.2156333373945,173.01972284449977,202.65651416884472,7.670202333244474,162.62069818150542,111.05693359140173,87.2102965544765,147.80702955829855,145.94587196484264,179.54051545900958,92.2156333373945,87.0822464177596,7.652074313277747,121.67802411963653,107.47334002699509,36.468342495096614,98.7115465161363,16.533013931169748,204.98182160012738,29.612003766882406,92.113814267927,314.5770909271461,78.65856990987864,142.46076579720184,58.07685104807809,129.87445899540123,109.7325558075783,87.0822464177596,163.01286544720386,140.8310794060948,171.93835105431512,71.27732478862715,92.2156333373945,,151.2962436244609,148.9649104331318,33.154024201289516,107.89108121046533,9.020683173189479
34,SSID,36.726545,-78.129131,63.48033377350327,70.44620169280157,84.87853129594441,155.28289287802787,69.20550030938499,111.11194546845512,92.01231125054564,101.99824377791312,85.60973452439303,109.82030222509103,63.48033377350327,67.98529381725929,153.18967330424852,42.32752760089325,105.43920243986271,114.93347268931512,99.75299646615984,160.23220988901372,142.92684654702373,167.53593462116703,59.78884197089112,454.15808520720856,114.75174908327487,102.35272681856476,105.38326562918178,100.92949792699464,52.637322760550425,67.98529381725929,32.16625776713168,102.74419889466334,42.817591590061596,150.32530450153104,63.48033377350327,151.2962436244609,,119.34613916244192,138.51363194093483,86.99279180372233,142.27566942572932
35,VBCH,36.852924,-75.977982,91.33717822068893,68.19424295976408,91.39352898971887,146.93681411047407,183.4228106645566,191.81809719139227,159.35225902324567,18.094199358640527,34.57860818274418,40.411290627520145,91.33717822068893,93.26209456561932,155.62405827953697,136.6340182154357,185.22723691641974,128.9574119229902,51.96364024499793,165.11396432658142,56.59508041979659,177.79152156017696,102.52417318889923,382.58775988513975,70.34386322196788,17.023257905494724,147.44921721146443,23.486968920700825,81.48159285310614,93.26209456561932,97.03460432373787,201.07809419741122,162.13374423885162,196.6089808390742,91.33717822068893,148.9649104331318,119.34613916244192,,162.4202354265877,49.50612198881878,142.9789705848946
36,WARR,38.713840000000005,-77.795563,88.21620257700278,173.4794509236301,201.69797831807193,40.822155756971554,137.2889786229185,79.35219256837922,59.98515246606391,157.6673919315372,152.35348998582904,187.58642075890236,88.21620257700278,83.37628068284059,27.89129526295523,102.80279116817486,76.43565489310785,33.6626752467238,110.46322891574768,28.345166090699284,216.26045417320063,30.250396696421454,83.98079775244966,342.60054726586714,94.99048339619927,152.856089356252,34.21888279776333,140.86995565865863,106.55871375125953,83.37628068284059,156.18289775736753,110.36223444441832,151.78227427050942,39.96894002142469,88.21620257700278,33.154024201289516,138.51363194093483,162.4202354265877,,115.98405361399226,29.860928012413737
37,WILL,37.270702,-76.707458,42.81195668583736,69.68918397446937,99.73132199429348,107.59595324180356,142.32403060251005,142.82390159994014,110.0638147018467,41.73917685889217,38.10597661630914,72.08203168013031,42.81195668583736,44.12645313171918,113.62914416558209,92.62322214315844,136.26548604775056,82.34002610623595,14.542566544921918,123.01377778409729,100.40440451983686,134.94903166237927,54.28073634470434,377.6413538130723,36.6020514774124,37.17733310469741,98.29652870196541,26.17050068707912,37.68514704306652,44.12645313171918,76.97213768675138,154.171703778937,127.3686304519124,148.1768884760415,42.81195668583736,107.89108121046533,86.99279180372233,49.50612198881878,115.98405361399226,,100.59615445862953
38,WOOD,38.66346,-77.245651,83.39741860651391,164.83213602532808,194.35509128313853,14.496219780478038,154.48331090667364,105.0911432062073,79.80898803784001,141.030607415043,138.53119183440893,172.50594081039128,83.39741860651391,78.26115644333242,13.044899677038313,112.8889742024516,101.16818358553282,27.47034775393218,92.07888684005523,22.43140812545214,198.6448567188732,34.82031043669165,83.12255792060455,322.62346805049333,72.97326241912182,135.77352832195334,50.47820471633056,123.26075424905507,101.0320036529978,78.26115644333242,154.17463585576684,134.1236722979056,163.16473661702034,69.53887974852151,83.39741860651391,9.020683173189479,142.27566942572932,142.9789705848946,29.860928012413737,100.59615445862953,
